reina,70,P
sepe,1,P
rafael,1,P
sportiello,13,P
puggioni,1,P
viviano,3,P
berisha,12,P
sorrentino,18,P
gollini,1,P
allison,60,P
skorup,1,P
scuffet,3,P
donnarumma,69,P
storari,1,P
mirante,1,P
handanovic,73,P
nicolas,1,P
padelli,1,P
buffon,70,P
scezny,3,P
perin,3,P
sirigu,21,P
stracosha,40,P
consigli,4,P
nuytnick,6,D
albiol,4,D
d’ambrosio,12,D
biraghi,2,D
letizia,2,D
cacciatore,1,D
cancelo,3,D
de maio,1,D
acerbi,16,D
astori,7,D
ghoulam,16,D
fazio,5,D
karsdrop,3,D
bonucci,21,D
rui,1,D
dalbert,3,D
skriniar,14,D
florenzi,41,D
de vrij,8,D
b peres,1,D
lirola,4,D
rugani,2,D
toloi,1,D
ansaldi,1,D
kolarov,30,D
a sandro,45,D
martella,2,D
hisaj,19,D
maggio,1,D
asamoah,1,D
silvestre,1,D
palmieri,1,D
chiellini,14,D
manolas,25,D
koulibaly,27,D
conti,28,D
r rodriguez,30,D
strinic,6,D
gobbi,1,D
basta,1,D
miranda,10,D
masiello,4,D
benatia,5,D
wallace,1,D
samir,1,D
ferrari  g,1,D
lucioni,1,D
lichtsteiner,1,D
caceres,4,D
howedes,7,D
van der wiel,7,D
caldara,13,D
barzagli,2,D
de sciglio,1,D
lukaku,1,D
de silvestri,1,D
musacchio,4,D
romulo,6,D
romagnoli,1,D
masina,4,D
n koulou,7,D
hertaux,2,D
barreca,9,D
widmer,3,D
pjanic,41,C
calhanoglu,32,C
bertolaccci,3,C
vecino,7,C
jorginho,9,C
milinkovic,49,C
diawara,1,C
badelj,1,C
birsa,35,C
perisic,80,C
laxalt,4,C
de rossi,4,C
jankto,8,C
biglia,10,C
obi,1,C
gonaloins,1,C
kessie,46,C
cuadrado,35,C
cristante,5,C
strootman,42,C
lulic,4,C
castro,10,C
magnanelli,1,C
torreira,11,C
d costa,55,C
candreva,50,C
khedira,15,C
freuler,5,C
b valero,8,C
l leiva,1,C
praet,1,C
marchisio,1,C
hamsik,66,C
ilicic,22,C
anderson,40,C
rincon,4,C
parolo,7,C
ciciretti,15,C
kurtic,5,C
l rigoni,1,C
perotti,63,C
falque,38,C
saponara,6,C
j pedro,14,C
j mario,6,C
under,1,C
baselli,4,C
eysseyc,1,C
zielinski,44,C
chiesa,34,C
bonaventura,22,C
fofana,1,C
pellegrini,1,C
bernardeschi,15,C
spinazzola,1,C
allan,1,C
naingollan,79,C
lijaic,64,C
g ramirez,25,C
matuidi,11,C
de paul,3,C
benassi,1,C
d’alessandro,3,C
viviani,1,C
belotti,200,A
insigne,120,A
therau,2,A
pucciarelli,12,A
el sha,11,A
cutrone,4,A
dzeko,213,A
suso,55,A
petagna,20,A
inglese,37,A
iemmello,1,A
trotta,1,A
borriello,46,A
kalinic,38,A
quagliarella,35,A
gomez,107,A
verdi,18,A
nani,16,A
higuain,192,A
schick,39,A
niang,38,A
di francesco,26,A
cerci,1,A
farias,1,A
immobile,193,A
falcinelli,13,A
callejon,70,A
pavoletti,37,A
verde,1,A
caprari,8,A
icardi,243,A
a silva,42,A
armenteros,1,A
zapata,40,A
politano,15,A
lasagna,3,A
dybala,213,A
berardi,27,A
milik,36,A
destro,12,A
perica,3,A
budimir,10,A
mertens,196,A
mandzukic,47,A
lapadula,41,A
simeone,70,A
pazzini,15,A
defrel,19,A
